id,description,type,flag,name,date,flag_data,recruiting
2,"",Open,,Yakuza,2025-12-07,,f
4,"",Invite Only,,The Commonwealth,2025-12-08,,f
5,Economical Focused Alliance,Open,,Eternal Vikings,2025-12-08,,f
6,Sky/Skies,Open,col_flag_6.png,Sky,2025-12-08,,f
8,"In the ashes of fractured empires and the chaos of endless wars, the world cried out for order. From that cry rose the Union of Nationsâ€”a sanctuary forged not by chance, but by resolve. Here, strength is bound with unity.",Open,,The Union of Nations,2025-12-11,,f
9,"Hi, platonically. :3",Open,,Tsuki,2025-12-12,,f
10,"",Open,,VANGUARD,2025-12-13,,f
57,"Join the Shadows.
Join the Darkness.",Open,,Shadow Valley,2025-12-15,,f
58,FIT is the first and only leftist coalition on Terra.,Open,,First International of Terra,2026-01-10,,f
1,Enemy of all ,Open,col_flag_1.jpg,The Empire,2025-12-07,/9j/4AAQSkZJRgABAQAAAQABAAD/2wBDAAUDBAQEAwUEBAQFBQUGBwwIBwcHBw8LCwkMEQ8SEhEPERETFhwXExQaFRERGCEYGh0dHx8fExciJCIeJBweHx7/2wBDAQUFBQcGBw4ICA4eFBEUHh4eHh4eHh4eHh4eHh4eHh4eHh4eHh4eHh4eHh4eHh4eHh4eHh4eHh4eHh4eHh4eHh7/wAARCACwASwDASIAAhEBAxEB/8QAGwAAAgMBAQEAAAAAAAAAAAAABAUCAwYBBwD/xAA8EAACAQMDAgQEAwYFBAMBAAABAgMABBEFEiExQRMiUWEGMnGBFCORFTNCobHBUmJy0eEHJEPwFlOC8f/EABoBAAIDAQEAAAAAAAAAAAAAAAMEAQIFAAb/xAAqEQACAgEEAgIBBAIDAAAAAAABAgADEQQSITETQRRRBSIyYaEVI0JSkf/aAAwDAQACEQMRAD8A8Ktl3EHGcHvTaGFnQkYAA5zQUcbRxghsj1o20nGzlgR0IpW5ieo3UoHc+ijQruWr4zt4Jr60gyhGc854olbcKwLtjIziglsnEKEPcHeMSjBFQXTFIyWIPuaaLHHtG0cV8/TCgcVdDgS5qzFTacoU5bBoeSxcLleRTxYmYZJAFSWDPHaqteAZYabcOJlpIWU8rg1ERMTwK1M2ni4XaF8xOFIHely2jwXDQOh39vepW8GUbTlYLavsTAVR71ajjeSDkmiJkS3TaBukb17VRBATLt6ZqQQckypUjiONOUzRgdx0rRaKgB2sM4rO2imB+CcjqK1elLviWZR9ay9YcCaWkGTNFp1pGyFVUc88etI/inSCIGkVMj6VodJDxMu4cHkH1FaG70/8RpxTw95bsBzmsQao02AzUfTixcTB/BUkV7aNp1zJiRF4z/EtAXMA0ie60+3lbwVkbkHkj0P0rQxQjQ78Q20cW/aGlcxAuueq88jGKyerXLy6pO00JjBkY7V65zT1LA2FvR5i/iIQA9iC3xiRcE8kfKKhYsZB4YQuPerBbi4JKptAGTmmej2g3EmIkf5Tj+VMXXbRkSUqLcGK9phuNoVgpPHHQ0x0uJn1BmjGQBhgvNMTZIZG8V2CgEnHQYoIyGFHSEeGrtlio5NUqsa4ECRZWtRBgnxJYwSFUikVWQ+ZlGc0ph0hUdWE6nIwSV6UzkEhmAHmBHAqWNqgmMq3605Xb4xszFnpDHdCWsjFBG0ZDR4AyOlJNdiDvGmeT7U5sJNs4LSvGjHzNjIH271yfTWu7iOW3WR1ZcbQMsMUGsmm3LGFsQWV8T74chIQ+wwKcXEO9V6dMUZpeltCgXYRjrRTWh3c8YpKzUK9paGWgqmDE0kAWM8dqz+uIEgJBwfStfdxgKSe1Y3Wg1zLIiN5RxxTen/Ucxe5MDEyRQyzgD1omS12ryKbaXpoVmmkHlT17nsKnJaPK5IGFrSs1IzgdCJVaQ7cnsxDDb+bcftRQjx0FMHtNvPpVZjxQzbuhlo2CAulDS4GSaOnIUEmlN1IXJCmjUruMXvYIIPcSFjtHSqdvtV6RFjRAhXHQ0/5FrGBM7Y1hyYKkTbeMkVGNHWbAU1fA+Bg9KKgwHDKc+1KliIUKDLdPmEAHiq689AKMLhjv7EZFX2kQkjIK7h7iqbqAwsEB8p6UqhDPj3GipVc+pJX/LJ71xSzP25PFQjBAPPHSirWAtgEgZotjYEmsEwk/hfIpPIHmIHFTSOFyAgNVTW+CFUk8jpRdpFhwuOSeMDrST4Udx6rcx6jyws7aS0jEEqNOCfKRgD3NU6vpdutzFcGSOTbGclT3prp2mrHHEs0hVpiC/HCj1o/W9Htzo0skCs7HAiODnOeTWSdQEsHPc1Dp91RyJ5NcKWum3KQQcc0XHa703IPNTS+0WeLNxOpUDrnrQ2nHbLtcce1bflDLlZheLa2GjT4ftLW4jRbmMBs8N2Psa2Gl2Nq7bIdqbR5lHPFItPtcJlFyDzir9Usp2t1ngLxMoxlCRn9Kx7z5WxuxNGtfGucZmwtrFkiCKhZRypx0p3pXjKQsoynYjtWU/6a63KJV0+8dnQnad5yV9DXpL20YmSMLhjyMCvO612osNb/APs0qSGUETzn4wtFttflnWZWE35jonzISORj36/esbrhjmvXlESxsQMBe/H9a1/x68MPxRNDA8c3CmV1ORvI5A+nFZu7s2lYsFYjscjitzRD/Wrn6gnGeolgiIbmtJoqu5UORjoABzS+zsyZWU847Vr9Hs4ElgjLrGxwGdRzk1XV2jbiXpTBi74h06a2sDcnw1BOAufNWRUzFwqnrxg17F8XaS0/w4myHfLE45Tq6kck/SvOrixkTZJ4OVJxkDpXaDVf6+4O2sO2YiEMqvhjjmjEhPhh5B16U2bT3KA7RuJxjOcGu32lXEUYkMRWE9MHkU2L1JGZXw8RLJbo0q4dkXHm70x063ETjZJuKsMMOARQvhuhK8t9uRTawguRwqEoemBU3WArwZy1Fe5treGxEEMpbcWUAkNkbsdaovLCOGJ2Vg2cEHHXihtKR49OYuTuJyAf0o9rgfgI3dW8mVbPtWGQVfg5h85HMxuvFooiig5NIrLTxIpG3rk1udVbSp4Qskiu/dVPmGaqs7O2htTcpCVUHEe4/NWrXq9teMYgBUGfJmLvNOuIykSxbYz0P96uNiBGFUcj/wBzWnWxnuZ8udxPOOwq6fTTCn5iEMelCbWdCFFSjmYC+tTFxigjaHZ4j/IK1erWkcbeZiSevtWX1i66wxjgd60tO5sxtiN4C8mZ3UWEkrLGpCiqI7MsBhSaZ2sW+QqOp70yhsTgHbWk1/jG0TOXTGw7jECWRA6VelgzDIUmn/4BVUFh+tWLGAoAAHtigNqCeoUadVnn9tEd4DZwaMW1dSCQfamMWn5AbFEGB1XoabstyeJm1V8cy2wuVgi+Ukjg+9V3kom5xj2NV7WH8JrkY3ygEED3oapg7odrSRtk4UVsA8UZAn5g7KB2qcKDthQO1FRwE+cDC4qruMYl61OZZaxqW3nG0etNLZkTa0YBI5B9KWxq2ML0o2HxGUBEJ+lI3YaatI2dx1pup7LotdxCbfwT0x700W+aVxHA+IUJHuxPf6Vn7e0ldTKSBt7U90TwrUBpVVmUnCAAk+5NZGoRByJpV2Mw2xXrtt+UJMOVJwckkfWs1eR21vJutot4xznivTLw217GIyrcDJUnis5regNCS0Y3oeQR0Io2j1YH6Wimr05zuEX/AAxcb8IRtYHyg9x6VvbfSUurJnQZDDkY6GsNpumSTCURna0a7hzivQP+nV6ZEFrOyhjwCe9L/kTtzYh6lKc7dpmMv7K60PW47mJSMc8jhh3FbrUfilDokywh0uxAVL5wUJHb3rQa/odtqdsGMeWiOTjqwHOK8xdU8Z5p32xuTkt6Gs0216wKzjkR2lAQREkrjxSRj6nqSe9WwiV9uH49KZTadBG4MUyvEVDKTjkYzQrHwk8ykA/L2ya0K79wwsIyc8ycMJZd7BQ2eT0phZShOXbDg8HtSppzt9+1dtZgHbe2SenFEsoO0kmUVhnies/DWoRXtrtCB5YiA/8AnyOuPtWd+NtONvetLHwJXGVUYx36dvpQGg/En7MspYI4AkrEGO4U5Ye2Dx96+nuLq5sTNOCVlk3eK7c59PespUaqzPQkrWdxPqCW8EURNxNOvzflxYOSff0FT1a7NjJ4LkyTMAxUnyqDyPvQF4Rb2r3IlVpSwVUB5Qdz70sacyvvbex9WOTWnQgsO4niVdSvE6jAXyXJ3eVhwpxx6V6fYw6E2jQ3kckrRzrko6efPoccCvLJCSpx19RW0/6YXAuZZdOumZoViaRMnhDUfkEym4eoM5jiWC1kZWSJkLJhMkEcd/8Aig9WQw2S22QMjzcck/8AuKdxaYVuEiUDIYuzbcYGOKo+MLeKQLGrrvVAfKO+OfrWTXYC4k5GcTDQaSXuQkUgaSQ96dx6Ur3K26zF0hXD+gPoKX2n5Nyk7ZIibIA71p9HaCeRUikJlk52lD164z607qLn7ELtwMz6y0kKwY7crUtRh0+JFSdlDtnBboaYXLi2j83BPtWaui9/qYSY/lqD9BSNZLnJPEkAsOJndb0VXaWWe8Cp/DsOR96UTfCiR2xZvzWYZ34xWh+ILErIEiLHsF9av0i0uLeH86YsvaPPArWqvsVAVaCelR2JiNP+HCrlihxnygCjn0uRBzGR6DFbdhM5/LVV98UPcQSHJkYH2xij/LdjzAeNQMCYmWwIBaU4x2obZjhV4+lai8s9zHqFoM2yr5VQ49jR1u45gmrmQtrI46VebHcpytNdM8KQDOKbC0jdOAKJZqyrcxavShl4mQ/Aq6+ZelCS6cwbKpjFbZ9MyPKKr/ZbYxijprgfcXbRsPUx0EEgbzCjoY+Np6U+bSj6D9KHuLLwh0wal9QG6hKqCO5RbQKVwKJttsRK4bYeuKhbRymQBFJzTSCFYpVEkO9sZxngUlbZiP1rJ2+64ZYtu1AQTgZ/Wr32i5CIcheC3qaZywwrZeMqhZCDtU5/pS2zjYy7mUnJ70gX3AmOJwRGVjp1xcONkbjPI7D7ntWlmsVUJbSIrbI1VmHRjjrS3SpDFGxLsTnAzwufQetNHvFQrvRyxGenBrOtZt3EICXOIDfaFC2musSYyThTwCazNkl3pl6di8DqucV6LZXMVzaAKBuB8wPUGqNS0NL2P8RbFVuE5wRwahdYygq/Rldig5biZL4u+Jr0Rrp8ZaEAAylW8zkjIH2rJTO5IaRM596N+KVx8Q3SLJv2yc57HuPt0oaOBrifc/QCtShUqrH13K9k4lVlI6y52s6AfJnABrmozGXwkCBdgIODnJJosQZkKwrkD0FFR6dcgCSSAMp7gZNS71g7ujLKG6ieEO48w2+nvRCIq+ZscDpTCa1WN1GQd2SR6VwWm9wqKx9gK4akMOYUVEdSi0CiTe67xj5ckUXqtxJM0cQJWNFBA+opvJp0EGkW95uXdIgG1lycgnPWk15JCZN4ULhQv1xQ0ItbIE4/pgewtnJJNfQWxZ/mGDUlba2VIAq9ZsEsAPqKYYEDiRkE8ymSEICuRn0ovRbi40q8E9vIVKnkdj7H2q63uokZPFto5FHUgYY/ei57e2uoJLi0YnaRlCMMuf7Uq9p6bqdsHqbm21OK7kL2FwBM0IJjaP5h1IBPpQmq3EF2PPbsJFHzqcdOxBrIwl0tlVshhwMdqcadqL2SJHfRO0TcrIDlkz6Z4NIinaciDNQXmV6lp00UaBFy7DccdRQ+mtcwXLiHb4hXb9Pf2NM5LWaQMSzgAnzHq3vQSxSrcF4kZXQ/mN2oqklcGXBzxC47qYcuxY55U9DVkBtzcsxgzHIMr/lagbuUuY2Ugno39q0ei6cZdO8SV9hl4UHAwPWpdV2ZPEqz7MxRcKgwsUQaUjB2irbfTpDhpv07CtJp+jpDk7oye53ZNWPArI+B8pxxVBbgYECbA0QvbRxws+MADv3pNcyK2coPatVq4WG22LEHB68UhFru82MZoiWezOH6ole3aVgNuB2AqxbHAwV/ninAhWMdB96p/E2oJG4HHpRhYT1I4Hc8P0+9lgIycj1rTaVrKsdpPNefQTSNABuO4daOsbho3XLHk816W3SLYDnuYVWoZMbZ6xZXUUibiwwOTRJubRgBEyuxrC2GoIHO5/IOBzxTSK6HiKUcjJGOaxm0e1ptLqA6zWwxBwC6DnnNLr+zf8dujTMeAAavivQIgN3b1oy1lU7W+YN6dDQgWQ5lyoIixLZdwxGAR7VattyCQQc9afNYRxKHjbcWG7p2IqzTII5dyyJuTv2oVlvGZdABErWcsrbg5ZcDHNT06zZp9vKkVoLrS4ouYmOV/SoWEYRiqpjP8VJPcQpxDCvd1IadZxpL/wBxG3XjYeT9BV+rCNJVhSN1EQ289/ejLNbaCXeA0knv2oXVZXeXbgANyeKT8hd+YSusq+RPrF4LacRg5JGXbtn0FO4RIwLISp7YNJ7BAqidtjFeOV6CtHp2J4zlUWP+Arwaqxy3EFcdizxjUrTbqEp2kN4jAj71akTY2KMZ61t/i7SLWWV7u1Gwg/mjHB9xSFbdVY7lGVwOOfvWuNQHUGQijsQfT7VVO/gEVO4nunbBYqg4AXgUxWJWdSq84xyO9SuxFHGIRAC/VmOT1pRnBbJjKISOIjVwJfzlLjaRgmnHw2JReveMv5MURMhHAx249c0ItvbnMoYh14EZqSSSGKRFPhwtgPjq3NcSGMIVO3Eq+JdUnv5Iy8SQQxghEUdeepPekF4FwCeW7gjj7U11CFmQvNKwbOFXGTt/tSwlfFAAyehJ7fSn9OBt4iz4XgQVon4AzzRUcabcEn3q5kaTCYzxziqUR1JLjA7Cjl+MQZGYTbRxthELFycKMZzUrOaW21AoqqwzggnG7PGKHC7RvRyCfWr7VXurkeMS5YHzE9xSzkHJ9Qg9RzqVzLGqsvg+GeGQL0+9de9jvbYQTARbFxHzkfSqdNtS2qQ255DE5VunSuSWdxbTGOVAc54Bzj70qhUHBl3GepotKlb9nJHIiyTxnhmb+HsfemEWlSG3JiJ/7hcupPBP19jSCxe4sCZYpN6MPKSmSh78GtJpt3HfwtCVEdzsypBOH9cDsfah2Fl5HRirjBiVNNigui05ZmXlQOhPvWj0e6W6YQ3MhL5ADe1AXDRNA285lBO4+tR03cl4nkJO4HA60QneOZzrlf5mkukSE7AAPeqXlSGIlmAL9Ae9EeCZZ5JTk56CgNTgJMauCxHQD1pfPOIspBwCZVIZLpGV0Uoeh9KW3uy0UmU9OnqarvdQniJgs1BkHBJPC0unOoFVNzdqQecO+f5UzWhPJML11FOs6rJNlI/y0/mfrSNrhgcZphqlldLNk7XzyNnSgjp90edgX2Na1OxV4gzkmeWQ2EolYGNsAkUWbaNAC2RTd7cBmAIwOOaGntxyFQhvrWybWzzMsUpjK8waNliJMXQjvTDT55Au8ZyDxQiQI52yOEA6kjNHw6fLJHvtJRIoGTtyCKqxXHMlFcNxGlpqBLES4BPatDompW3hGOV1Vg3lz6ViEgdXAbIOcc0Y6PGFTBQHktSt1KNwDG67WAyZ6vaTq8UMOVJlUBcU2gsZIoFBUKvVjmvO/h6+nt4RfXV5iO3IES5G5j9D1pkvx1qDXG3EWwN/EuaxbdPZuwseVgRuziegx2YngDPxnpVb6eLdN8jgp7days/xzdPLH4dvFGqjBX1NLPiD4wubuAW8CNErcvk9fYH0pRdHa74I4lg7LyTNPe63pVjJuEBmYrlUHA+/pSg/Fb+Ln9nW5A+UEk4z/WsY928z4dju9asjY5+bOKcGiVBzO3hjN/Ya7b6iotpIBbSHpsOVY/2rRWqtDbqjeVFw24n+VeURTecHdt56+lehaffRajpCxXd14EqebccKGFZ9+mCHKwpGVx6jRfDZJmlw6ucGl0WhRTytLDMqAnnev9xRsVjIsSrHJ4pbnIPGO1FytFYWo8eXwk3D8zPJPfA70uCywTuBwh5i670230+Np5i7hR8wXyn0A/3rM3N548pIRA2cDAxWu1a70+/0+dEnBUpkbQd2R0yK8/k3xynJUY7UStS8Y0jsBl+5fLlhgR7WHUr3HvXI50jiRZF3YOSB29KKtozOijDAEdRS3gzSCRtuDgCi14YkGM2EgZEBvJbm4nfONzdW/wBqlb2MYjy+9H7N1Bo3UbVY2huY33mRcY9McVdbSeJCVZRgEim/JhRtiuMnmcsbBn8QAhdvDE0uu4iJn8MbwTjkdKcWkz2MjmNd4kXGGOaHuAC27bsU9sUNXbdLYGItiSNY2/EIXK42qBnNWaHLHBqG6cMI2VlGO2aIdFZeCaXSxtBKVIDZ+XmjKAwI+5RjjEOu7gq7yhiN3Hl7jNNdAtonvUjumMQZGCkD5z1GfSlMERnRVLDPf2ppal4BGVfLx8h+/wB6Ws4GBJH3GlxbqdyxA8cA+tSsLdrPUIZmyoRgWx/OixfWotknwhcdUHQH1pXea0S+FwnPPela2sIxic2H9TVyx2NzLut1DbQSMjBPPX3qqO9h06V/EiMrHODjnn3rOafq0b7hJMEcA7WPQ9se1Vz6hIEaMSllbAHIIx9auqNnmB8Po8iM7z4nuvxQEUhgUcYA4oHV/iK5nVXWRo3RduUbAJ9cUg1O4w5WMhj/ABMO30pNJKwz5iQfWtGnRhhunN40PCxk1/Ov5izyFs5yDii4r2fVE8G6uZWdR5Sx6ikiTxrCFYHdmm3wlate6oMZWNFJZh27USxQqk/UkFc5MJj/ABULIiszKvAz6UZhpfOYXPvimaz6DbXPgmXzg4JbJAP1q241a3ik2RhiuOCqZBpMu7HgSS9Q6WeO3dv4VyySLznkZq6PTGuAGhXeG4Az5hUUuEuL4NdsViUYOPQetNo9Z+HLYeJCbyRgpxF4e0E9vNngV6C57RgKMn+plVJUSWJwP7iCDTZ0vXiMLl16rjn70ws5YNPR0IfxGHJGMKfpQ938QX+oNIGlWNX6rGuOOwz1xQgY9zmp2O/FkubUT9kJu4HkdZFnV0AGT0OPpRkGq6dHapaTw3E2192/KjB6fpSzfgZAqk7ST61PjDDBgi+Dke4w1G7S7vGljXYgAVF/wgDFUGRgKEZiuNoNSRyxy5ogrwMSPJmHwzFsbpCMV15y7AMcD1oYBSeGAqTMyMc4Of51UoJIsIEtklKtheT2NGQSMRuIzxS4OXADAADpU0dk4BJoTJkYhFsIOYetwWIAz1rQabqNsInWdj+XyB9ayISQtlcj71dH40fQZ9c0tdpksGMxinUshm/HxRJ+At7O2uGVImY5Awwz2z1xQNzq0kyLmaRzGThScgZ61khI7HkYA7elEo7YG1sgelL/AAkWFXUY5AmhTVZEz4chXPGcUne/kkOAvmPGe1UKBI53OQD61KSIeRU59SO9WWpEhDaWjzTr24twFDKxznGKsmAuJZHUEMTnA9KXWYyuWHPtTC0YrIFxkik7ECksO4ZHJ4MnPIDYfhzGzZOQSRwaDs3YMyFiAeQPemkscUkRKLsbqR60CYX8ZShUH/VVK3BBE5lwYQkqsoXdgjqWqu53MARyAcnuM19HaTySkBGUd2PQfepmG6aULDG3k4O5xmoyoPBncyA6ZJAOOlVFBJJwuNvO6mcOlsN897MqZHCK/m+9Um3VUQH90x67wC1QLlzwZxUmCTTFVCrxxjd618s6pHsDZY9TX0kRWUqySbAcZIziqHKRykKS/b5avgGVMKmuJlQGM+UDHPWlly580niCQk5YFcUckcyxDcvBzjJoWWOJAWdhmiVYBlWzKIZyZACWx7VfJKy5ZSQCO9BPcKCfDUD3NDT3Lu20EnNNircYLy7YS0+EKFuWPbtQ8s6qMCh5FfPHHqTXyrGqFnO9u2aZRAogzZmRa5HrTTRtXvLDxTalI/ETazMMkfSs9LksTxiurcTAHpzRWoDjEF5I/wD2lGXUbt2RyRREGot4YCyMoHGFPFZJpHB4OK7+JkHGf5VHxFlxf9xX+0GkXO0Rt6A5zQjSy788VUCDz0qxQv8AjrY2BZghyfctjkbruK5oyG6AADEfWg1II+dT9RXVRGOAVP0NUKgwgYiHPdoOnNfR3Csf96DEGTjv7EVb+HdF3MpC+pqhROpYO3eIcDv4wo9CTX0kbou7t6ihLeWNnESOCT6UX4b45YY/UUJgFOCYQEsOp8oLAZIOenNdJkVgrIeOhNdS0nfzJHvHqtExWd2o4gfHoRVWK/YlgW+jORhsZMefvU0ZFYB0Zfp1qS2s7cG3rptJ0HnAUejHFBJX7hAT9f1LgVcflRv9Sc11dynnIrtnbeIxEbHj5sdqPS1kwF27/rS7WIDjMMFYjOIMcEBkUk96IjuGRMbCpxgZFMYLCTZuWMk/yoj8BMwGEjB+9Aa+vomFFdnYESCKUkNt+b0ouJV2ENGwYdx0plFpt302qw+nP9KtGkTPx4My/wCk4FBs1CfYhUDDsQCHGQdwX7UZa7vG569cjvV6aDcBsszHn0pvaaSdgX8OBjuQP7Ujdqax7jSAjuCwqeC2CD6Dmik0hZT4ykovuM0zi0uRsBV2Y9DR0OmzBcEEj61kW6tRyrS5uUDkxMbELasriSYHkqrY/kKrgtfKR4LQRj1OMf3NaJ9NlKZI49cUPJp84OSm5fTNAXVZ4zIFyk9zP3FtGzYV1Ce/f70MbSSePaMBU4CkHpWhe0mz5IVBx1OTihbuxumQAsfsBTdeoxjmWLqeoiW2SP8AeXUieqRnPH2oe5a3jA8Hwlf3JY0yudIuCu4r9eP9qDbTGAxsAPutOo6HktBkt6EXSs0nMk6ZxwBQjxRMCWkYnPQDFN5LJ0PyD9MVTNBIy4aFSQMA4p6p0HIgmVz3FksZjHkQbDxuBzQjoDnGFGO9M5bOU9VIHoDQz2ZA5Vj9qcRwfcCVYeorupVwqLnCjH1qkMojO88mmElk27IBH2qlrF8nH9DTAdPuD2N9RVIGZj2ArhjJ70z/AATk8nP2r78A3cH9KKLkHuV8T/UVGIDq2a+BVeMCmLae+erfYV8NPIHKE/UGiLen2JU1N9TzIXJbrISO1HRrsALxu+RSdZ7JhyhT6UU96joFR2UD0NOWEsRjMz6lUA5xDzNbqNvh8/pUorlQNkakk9sA/wBqRtKN3zgfU18so3YVyfoKt4QRyTK+U54AmiPjfMWSLH/vaqWljV/zJw+fek+5iPkb/wDTVJZJE+VE/rVAuPcIWz6j6G4tkHzPz6Vemo20YwiN79qzqy3D9GY+uBXYyztgEZ9zQ2oU8sZYXMP2iaBtVx+7JH3ouGe+jAKXGzPYMTWehgwytK44Odo70zeaWRegFL2hVwFEYr3HJeOVvykW2aeQ+pJzVbavEVIZi+PlwMUlCu6Y559RU47SZ+FBH0FL7EHLGELN0BNfpF/JNZu1qke4dVDDP3yc1auoaiXHiRIoHYEZ/rSXTNNuFAJjWD1cnJNMltIk5knBx361n2GoMccxxA5UZ4jeDVpFYFYnJ74/4phb/EEqnaYHGem4Y/qKzf4rSoDl2DsOvlr6T4l0+3GY7ZGI6bjSpoFn7UlzcV7M29prksmB4Eo9wAaZRXNxIuVEpB7lDXl5+PHQ5SEp/oYf3FVj44nlkAlkuFQnkiToPoBzQm/FXHnbiQNWD7nrySSqMy3EUX+oYq0ajZxDL6rEcdlryRfiiAk7JJpfQs2P71TNrkrEE3UKDr5SKB/iWJ5l2uH/AGzPZE+IrJANlzJJ9FNXx/EqN0dgPcV4nHq2R++lIHcNmjrTWBgfmXTY6+YVR/w4xKBqzyZ7QPiTMYiExZM7gMcZ9apn1gkBvHGD6DGK8jGvyLIHQO5B/ikJ/ljFMP2/JJB4+GwvEiKR+vSgn8XggmSBWOQJvp/iKJBhp+fUqBmhpPiSEqcSoxHbIzXnV/MlzEZrW5k29wxAx+gpK0wDEBw59iMU9T+JrYcyDcB0J6hN8RuQSIzt7HIxS+T4lTcQTED6b1/3rza4uJ28pbj/AA7uKHa8ZB8jGnk/E1iU+Ww6npz/ABEmPMsXPT80VRNr5C7lEXPo2a83/Htj92F+tRfU1VcBmP0NHH4xfQlflt7m8l+JJMkbVH1FCSa7I3PiY+hrEjV2AwASfUmupPNJvkVCc+hx+lFGhC9icNUW/ma99amPSY4qt9Zk2/vufXisK2oyByhlPHX2qyK5LnPiFgPWinQgcmUGq3HAmvbW5FbiQmuft9v45ZQfUGsuJgeSwoe/ujGo8pYeoHT61K6VGOMTmtdRumtOtksNt8Rn/GcVz9rXh5FwCPaWsHJeNIRggD61z9pNH5PFYfejH8ePUCNb9zPIx65qe4nuaqhhducUbDbt3Araa1VmKtbNKgQB0z96tjkkHyoo/U0SkKDklRVoMCdWFLPdujCUlYOstwxwOPotHWKbsmYkt2z0qn8XAg4xUTqqL8uKA25hgCHUhTkmPIbNMAlRj1q8W1uOGVR71mhrssZwrDb6GovrAkB/MKH0PSg+C0w41FWJp9tnEchhXU1G0ibldw/pWOkv5D/ET96He7cnuan4ZbswZ1gXoTaXGswn92Y/YHg0HJ8QTRthZCh9qyZuG7tXFvNo2suR6jrRV0Cj1mCbXMfc08nxRfgbfxDfcULN8SX/AP8Acv3WkLOknmG771WVbPWiro6h/wAYM6uw+47/APkV5nzeG2fVakmqpcnErLCT3B4+9Z9twqO5ulF+MnoYg/kMOzNK7yRnzA47Hsa4JmJ5JpBE8iEESMntmiP2hKvA82PX/ioNJ9SwvHuPRcbRwcmpfiGY4OaRDUZCOYz9RJir47zzcSbT6+IKGaSPUKLlMeElO+aIgvnjUKsrhu2GIrNtqDE4a5yB23Cpi/t1XmRj/pHWhmgnud5VBmtXWLnbtZkb3ZRmr7HW3imAfYVPDD1rCPqcpbMagL6Mc18mp3StkeFz/k/vQzoAR1LjW/zPQheNa3e9ZSkLc5YjGPvXbqbT7jLxXcav3XrWOiMtxYgSZZuoYHcB96DiupIX+Ygg1CaINyDyJY6zZ2O5obvU7WFiqJNIfXhR/OgjrJz+4I//AH/xQvjLdjkgPj9aDnQoxDDBppKaxwYKy+w8g8RuNRhk+dnQ/TIqcl3ax/8AnWT/AEgms8XFfeKNuDVzQueIMagjuOX1SJPkjZj78Cq31q5KlUIjX/L1/Wk4cE8c1Fm+tXGnQepU6l+sw83eee9dhu5VcGMkHt6UuRwx5o+OWOKPdhFOOWbrUOMcYk1ksc5xGcdxIpzN1I6Z4qc0trLEzzSrFjvux/8A2s9d6kW/dgHA+Yil7ys7b3csx70JdPu5PEK2rCjA5jKa5CTN4UjSRZ4LDBqJuwxyR+opcXqPiY9abCxEvGQvVTpXDqPocUhWYk89O9WyuFBwwPI4B9qn44zK/IPqNWvmPRjVbXbn+KlQkJqQfFT4QJ3mZoe1wx/iqBmNC+JXC9cEkFzCTKTX3iH1oYMa+LYFTtkZzCBKynhsVIXRHDDNBByea7u9a7aJwYjqHmeEjkMp+ma+Bhb/AMg+9AbsnrUgcjpXbJO8nuHplTkeYe1Ebg4wOD6EUqDuOnFTju5V9DiqshMstgEYiPJ55rrhVXI5oRL5W6qQe+KIWaJujUMhh3CAqepTK+eowaiDnvV7weIuUYGqfAlHofvRA6wbI2epIe9Rbb6c13a6/MpH3rhbntXTjOCvi2DUWb2NQ3Z7MatgShMs34PJruS3HaquCPlIr4b8eVSc12JwMOsZZ7eUSQMcjqMZBpjeSxTReO0QUnqUPT7UmguLiHyhMr70Sl+5BUogB4Pegup3ZEOjqF2ycc6q42sfvTCO4SZNsnJ7GkMzuHJBwfaopcSHgyN+tXdNwzKpbsOI2uI9jHkAe9DSNGo5cfbmqY5tww3P1qMoHWqAEcS7EHkTjTD+EH71bbie43iMoNgzQRbnFSjmMbE72XI7Gi7YHdDPAucnEwxwMjPXOKitrI5ILqCGAOeeoB/vVBmyc+NMeOOar8coCA8nJ6ZrtsjIhX4ST/GvOcdecHFQFsxYrvUHfsH1xVPjgjPizDIwfN1r43GTzJKeQQC1dgzsqZIIf4WVh6561VIgDkHOfY10unOGkx9apkc7vKzY96tiQZ//2Q==,f
61,desc2,Open,,test_recruiting_manual,2026-01-23,,f
64,desc,Open,,ci_test_1769188646,2026-01-23,,t
